keyword,arousal_value
陈小春,0.02261901812329714
山鸡,0.28612098246716366
歌词,0.3688524590163934
啼笑,0.5
粤语版,0.6464022406194653
姻缘,0.33333333333333337
真是,0.4032472717593826
同步,0.6666666666666666
专情,0.6917829120920116
小秘书,0.3524194816046603
陶喆,0.5967527282406182
真性情,0.30149460175971066
徐小凤,0.07123686185392808
歪门,0.6666666666666666
点赞,0.3552607750814921
jasper,0.5
歌里,0.30060329395300156
freestyle,0.5
黄伟文,0.9744798852679312
rap,0.7500000000000002
吴亦凡,0.9610356209010246
屌丝,0.6862873965770269
老歌,0.5086770753846992
风华正茂,0.6666666666666666
喜欢,0.20087336244541487
真情实感,0.5
以为,0.4032472717593826
二锅头,0.2856960815546351
原版,0.4666666666666667
花心,0.33333333333333337
唱功,0.8470754091889531
抱紧,0.07345521263351018
浪荡,0.33333333333333337
不羁,0.6666666666666666
纠结,0.2264379618563468
轻浮,0.2500000000000001
有件事,0.23236371173910064
情歌,0.5
深入人心,0.6666666666666666
组团,0.5
桌面,0.33333333333333337
超前,0.5
歌手,0.44444444444444464
名气,0.6666666666666666
一品,0.2500000000000001
过时,0.4285714285714288
更能,0.40314136125654454
时候,0.4032472717593826
女神,0.3333333333333337
到头来,0.33333333333333337
大哭,0.5432044974441546
一刀,0.6153846153846156
艺人,0.7142857142857144
还是,0.4032472717593826
预备,0.5
几条,0.3113207547169815
一首,0.392575928008999
个性,0.5
回复,0.2666666666666667
软件,0.36363636363636365
味道,0.34883720930232565
经典,0.6428571428571431
难得,0.5384615384615385
已经,0.4032472717593826
我们,0.4032472717593826
当初,0.375
音乐,0.4787775891341257
真实,0.3571428571428572
自动,0.40000000000000013
上去,0.4032472717593826
十年,0.39502165069286377
感情,0.18750000000000022
没想到,0.3971510476186364
习惯,0.28205128205128205
看好,0.33333333333333337
装备,0.6000000000000002
所谓,0.4032472717593826
结合,0.4032472717593826
一个,0.29671361502347426
真的,0.32327586206896575
不得,0.4032472717593826
别人,0.2540983606557379
即使,0.4032472717593826
正常,0.4032472717593826
大部分,0.5000000000000004
看看,0.4032472717593826
今天,0.4032472717593826
觉得,0.4032472717593826
可是,0.4032472717593826
基本,0.4032472717593826
甚至,0.4032472717593826
那么,0.4032472717593826
一直,0.4032472717593826
不会,0.22487509501581437
一种,0.493975903614458
其中,0.4032472717593826
不是,0.35728385313857103
什么,0.4032472717593826
