合久必婚-李克勤
word,frequency
首歌,0.17930809066220732
必婚,0.15993000003879598
合久,0.11994750002909699
可爱,0.10191854053618729
李克勤,0.09298112141806021
男朋友,0.08974766482645484
林夕,0.07996500001939799
卢淑仪,0.07996500001939799
2006,0.07996500001939799
看开,0.0782839670541806
喜欢,0.0762888080671572
我们,0.0680532033509699
结婚,0.06586346480217392
好多年,0.06475698961070235
我俩,0.06153978117846154
歌词,0.061127115165083616
女孩,0.04992994838535117
生活,0.046493603007391304
达到,0.045750857577993305
时候,0.04303089966662207
有口无心,0.0428162721180602
单曲,0.04110782521571906
大概,0.041026178295785955
领证,0.040498054122742475
有句,0.039982500009698996
久合,0.039982500009698996
里立,0.039982500009698996
瘦到,0.039982500009698996
听歌,0.039982500009698996
甩包,0.039982500009698996
